Word/Expression	Arabic	Transliteration	RefAudio	Unit	Chapter	Week	Weight
Hello	مرحبا۔	marHaba	hello.mp3
How are you?	 كيفَك؟	keefak?	howAreYou.mp3
Nice to meet you.	 تشرّفنا۔	 tshar-rafna	niceToMeetYou.wav
Welcome.	 أهلا وسهلا فيك۔	  ahla wasahla feek	welcome.wav
cat	 قطّة	 qiTTa	
dog	 كلب	  kalb
horse	  حصان	 HiSaan 
duck	بطة	 baTT
house	  بيت	 bayt 
key	 مفتاح	  miftaaH
floor	  أرضية	  arDiyya 
elevator	مصعد	 miS3ad
city	      مدينة	   madiina
street	      شارع	          šaari3
road	      طريق	    Tariiq
tunnel	      نفق	nafaq 
company	      شركة	šarika 
shop	      محلّ	maHall 
park	      حديقة	Hadiiqa 
school	      مدرسة	madrasa 

